AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
BENG 247C/ECE, Bionanotechnology (4), 4
BENG 260/BGGN, Neurodynamics (4), 4
BENG 267, Microcirculation in Health and Disease (4), 4
BENG 276/Chem, Numerical Analysis in  Multiscale Biology (4), 4
BENG 277/BIOM, Tissue Engineering Laboratory (4), 4
BENG 278/RAD, Magnetic Resonance Imaging (4), 4
BENG 280A, Principles of Biomedical Imaging (4), 4
BENG 280B, Comparative Biomedical Imaging (4), 4
BENG 281, Seminar in Bioengineering (1), 1
BENG 282, Seminar: Faculty Research (1), 1
BENG 283/Chem, Supramolecular Structure Determination Laboratory (4), 4
BENG 285/BNFO, Statistical Learning in Bioinformatics (4), 4
BENG 291/191, Senior Seminar I: Professional Issues in Bioengineering (2), 2
BENG 295, Bioengineering Design Project and Industrial  Training (4), 4
BENG 296, Independent Study (4), 4
BENG 298, Directed Group Study (1–4), 1–4
BENG 298L, Laboratory Research Rotation (4), 4
BENG 299, Graduate Research (1–12), 1–12
BENG 500, Apprentice Teaching for Specialization in Multi-Scale Biology (2, 4), 2, 4
BENG 501, Teaching Experience (2, 4), 2, 4
CSE 3, Fluency in Information Technology (4), 4
CSE 4GS, Mathematical Beauty in Rome (4), 4
CSE 6GS, Mathematical Beauty in Rome Lab (4), 4
CSE 5A, Introduction to Programming I (4), 4
CSE 7, Introduction to Programming with Matlab (4), 4
CSE 8A, Introduction to Computer Science: Java I (4), 4
CSE 8B, Introduction to Computer Science: Java II (4), 4
CSE 11, Introduction to Computer Science and Object-Oriented Programming: Java (4), 4
CSE 12, Basic Data  Structures and Object-Oriented Design (4), 4
CSE 15L, Software Tools and Techniques Laboratory (2), 2
CSE 20, Discrete Mathematics (4), 4
CSE 21, Mathematics for Algorithms and Systems (4), 4
CSE 30, Computer  Organization and Systems Programming (4), 4
CSE 42, Building and Programming Electronic Devices (2), 2
CSE 80, UNIX Lab (2), 2
CSE 86, C++ for Java Programmers (2), 2
CSE 87, Freshman Seminar (1), 1
CSE 90, Undergraduate Seminar (1), 1
CSE 91, Perspectives  in Computer Science and Engineering (2), 2
CSE 99, Independent  Study in Computer Science and Engineering (4), 4
CSE 100, Advanced Data Structures (4), 4
CSE 101, Design and Analysis of Algorithms (4), 4
CSE 103, A Practical  Introduction to Probability and Statistics (4), 4
CSE 105, Theory of Computability (4), 4
CSE 107, Introduction to Modern Cryptography (4), 4
CSE 110, Software  Engineering (4), 4
CSE 112, Advanced Software Engineering (4), 4
CSE 113, Errors, Defects, and Failures (4), 4
CSE 118, Ubiquitous Computing (4), 4
CSE 120, Principles  of Computer Operating Systems (4), 4
CSE 123, Computer Networks (4), 4
CSE 124, Networked Services (4), 4
CSE 125, Software  System Design and Implementation (4), 4
CSE 127, Introduction to Computer Security (4), 4
CSE 130, Programming  Languages: Principles and Paradigms (4), 4
CSE 131, Compiler Construction (4), 4
CSE 132A, Database System Principles (4), 4
CSE 132B, Database Systems Applications (4), 4
CSE 134B, Web Client Languages (4), 4
CSE 135, Online Database Analytics Applications  (4), 4
CSE 136, Enterprise-Class Web Applications (4), 4
CSE 140, Components  and Design Techniques for Digital Systems (4), 4
CSE 140L, Digital Systems Laboratory (2), 2
CSE 141, Introduction to Computer Architecture (4), 4
CSE 141L, Project in Computer Architecture (2), 2
CSE 143, Microelectronic System Design (4), 4
CSE 145, Embedded System Design Project (4), 4
CSE 148, Advanced  Processor Architecture Design Project (4), 4
CSE 150, Introduction  to Artificial Intelligence: Search and Reasoning (4), 4
CSE 151, Introduction  to Artificial Intelligence: Statistical Approaches (4), 4
CSE 152, Introduction to Computer Vision (4), 4
CSE 153, Cognitive Modeling (4), 4
CSE 156, Statistical Natural Language Processing (4), 4
CSE 158, Recommender Systems and Web Mining (4), 4
CSE 160, Introduction to Parallel Computing (4), 4
CSE 163, Advanced Computer Graphics (4), 4
CSE 164, GPU Programming (4), 4
CSE 165, 3D User Interaction (4), 4
CSE 166, Image Processing (4), 4
CSE 167, Computer Graphics (4), 4
CSE 168, Computer Graphics II: Rendering (4), 4
CSE 169, Computer Animation (4), 4
CSE 170, Interaction Design (5), 5
CSE 176A, Maker Topics: Health Care Robotics (4), 4
CSE 180, Biology Meets Computing (4), 4
CSE 181, Molecular Sequence Analysis (4), 4
CSE 182, Biological Databases (4), 4
CSE 184, Computational Molecular Biology (4), 4
CSE 185, Advanced Bioinformatics Laboratory (4), 4
CSE 190, Topics  in Computer Science and Engineering (4), 4
CSE 191, Seminar in CSE (1–4), 1–4
CSE 192, Senior Seminar in Computer Science and Engineering (1), 1
CSE 193, Introduction to Computer Science Research, Introduction to Computer Science Researc
CSE 195, Teaching (4), 4
CSE 197, Field  Study in Computer Science and Engineering (4, 8, 12, or 16), 4, 8, 12, or 16
CSE 198, Directed Group Study (2 or 4), 2 or 4
CSE 199, Independent Study for Undergraduates (2 or 4), 2 or 4
CSE 199H, CSE Honors Thesis Research for Undergraduates (4), 4
CSE 200, Computability and Complexity (4), 4
CSE 201A, Advanced Complexity (4), 4
CSE 202, Algorithm Design and Analysis (4), 4
CSE 203A, Advanced Algorithms (4), 4
CSE 205A, Logic in Computer Science (4), 4
CSE 206A, Lattice Algorithms and Applications (4), 4
CSE 207, Modern Cryptography (4), 4
CSE 208, Advanced Cryptography (4), 4
CSE 209A, Topics/Seminar in Algorithms, Complexity,  and Logic (1–4), 1–4
CSE 209B, Topics/Seminar in Cryptography (1–4), 1–4
CSE 210, Principles of Software Engineering (4), 4
CSE 211, Software Testing and Analysis (4), 4
CSE 216, Research Topics in Human-Computer Interaction (4), 4
CSE 218, Advanced  Topics in Software Engineering (4), 4
CSE 219, Design at Large (1), 1
CSE 221, Operating Systems (4), 4
CSE 222A, Computer Communication Networks (4), 4
CSE 222B, Internet Algorithmics (4), 4
CSE 223B, Distributed Computing and Systems (4), 4
CSE 224, Graduate Networked Systems (4), 4
CSE 227, Computer Security (4), 4
CSE 229A, Topics/Seminar in Computer Systems (1–4), 1–4
CSE 229C, Topics/Seminar in Computer Security (1–4), 1–4
CSE 230, Principles of Programming Languages (4), 4
CSE 231, Advanced Compiler Design (4), 4
CSE 232, Principles of Database Systems (4), 4
CSE 232B, Database System Implementation (4), 4
CSE 233, Database Theory (4), 4
CSE 237A, Introduction to Embedded Computing (4), 4
CSE 237B, Software for Embedded Systems (4), 4
CSE 237C, Validation  and Testing of Embedded Systems (4), 4
CSE 237D, Design  Automation and Prototyping for Embedded Systems (4), 4
CSE 239A, Topics/Seminar in Databases (1–4), 1–4
CSE 240A, Principles of Computer Architecture (4), 4
CSE 240B, Parallel Computer Architecture (4), 4
CSE 240C, Advanced Microarchitecture (4), 4
CSE 241A/ECE, VLSI Integration of Computing Circuitry (4), 4
CSE 243A, Introduction  to Synthesis Methodologies in VLSI CAD (4), 4
CSE 244A, VLSI Test (4), 4
CSE 245, Computer  Aided Circuit Simulation and Verification (4), 4
CSE 248, Algorithmic and Optimization Foundations for VLSI CAD (4), 4
CSE 249A, Topics/Seminar  in Computer Architecture (1–4), 1–4
CSE 249B, Topics/Seminar in VLSI (1–4), 1–4
CSE 250A, Principles of Artificial Intelligence: Probabilistic Reasoning and Learning  (4), 4
CSE 250B, Principles of Artificial Intelligence: Learning Algorithms  (4), 4
CSE 250C, Machine Learning Theory (4), 4
CSE 252A, Computer Vision I (4), 4
CSE 252B, Computer Vision II (4), 4
CSE 252C, Selected Topics in Vision and Learning (1–4), 1–4
CSE 253, Neural Networks for Pattern Recognition (4), 4
CSE 254, Statistical Learning (4), 4
CSE 255, Data Mining and Predictive Analytics (4), 4
CSE 258, Recommender Systems and Web Mining (4), 4
CSE 258A, Cognitive Modeling (4), 4
CSE 259, Seminar in Artificial Intelligence (1), 1
CSE 260, Parallel Computation (4), 4
CSE 262, System  Support for Applications of Parallel Computation (4), 4
CSE 272, Advanced Image Synthesis (4), 4
CSE 274, Selected Topics in Graphics (2–4), 2–4
CSE 276A, Introduction to Robotics (4), 4
CSE 276B, Human Robot Interaction (4), 4
CSE 276C, Mathematics for Robotics (4), 4
CSE 276D, Healthcare Robotics (4), 4
CSE 280A, Algorithms in Computational Biology (4), 4
CSE 282/BENG, Bioinformatics II: Sequence and Structure Analysis—Methods and Applications (4), 4
CSE 283/BENG, Bioinformatics III: Functional Genomics (4), 4
CSE 284, Personal Genomics for Bioinformaticians (4), 4
CSE 290, Seminar  in Computer Science and Engineering (1–4), 1–4
CSE 291, Topics  in Computer Science and Engineering (1–4), 1–4
CSE 292, Faculty Research Seminar (1), 1
CSE 293, Special  Project in Computer Science and Engineering (1–12), 1–12
CSE 294, Research Meeting in CSE (2), 2
CSE 298, Independent Study (1–16), 1–16
CSE 299, Research (1–16), 1–16
CSE 500, Teaching Assistantship (2–4), 2–4
CSE 599, Teaching Methods in Computer Science (2), 2
ECE 5, Introduction to Electrical and Computer Engineering (4), 4
ECE 15, Engineering Computation (4), 4
ECE 16, Rapid Hardware and Software Design for Interfacing with the World (4), 4
ECE 25, Introduction to Digital Design (4), 4
ECE 30, Introduction to Computer Engineering (4), 4
ECE 35, Introduction to Analog Design (4), 4
ECE 45, Circuits and Systems (4), 4
ECE 65, Components and Circuits Laboratory (4), 4
ECE 85, iTunes 101: A Survey of Information Technology (4), 4
ECE 87, Freshman Seminar (1), 1
ECE 90, Undergraduate Seminar (1), 1
ECE 100, Linear Electronic Systems (4), 4
ECE 101, Linear Systems Fundamentals (4), 4
ECE 102, Introduction to Active Circuit Design (4), 4
ECE 103, Fundamentals of Devices and Materials (4), 4
ECE 107, Electromagnetism (4), 4
ECE 108, Digital Circuits (4), 4
ECE 109, Engineering Probability and Statistics (4), 4
ECE 111, Advanced Digital Design Project (4), 4
ECE 115, Fast Prototyping (4), 4
ECE 118, Computer Interfacing (4), 4
ECE 120, Solar System Physics (4), 4
ECE 121A, Power Systems Analysis and Fundamentals (4), 4
ECE 121B, Energy Conversion (4), 4
ECE 123, Antenna Systems Engineering (4), 4
ECE 125A, Introduction to Power Electronics I (4), 4
ECE 125B, Introduction to Power Electronics II (4), 4
ECE 134, Electronic  Materials Science of Integrated Circuits (4), 4
ECE 135A, Semiconductor Physics (4), 4
ECE 135B, Electronic Devices (4), 4
ECE 136L, Microelectronics Laboratory (4), 4
ECE 138L, Microstructuring  Processing Technology Laboratory (4), 4
ECE 140A, The Art of Product Engineering I (4), 4
ECE 140B, The Art of Product Engineering II (4), 4
ECE 141A, Software Foundations I (4), 4
ECE 141B, Software Foundations II, Software Foundations I
ECE 143, Programming for Data Analysis (4), 4
ECE 144, LabVIEW Programming: Design and Applications (4), 4
ECE 145AL-BL-CL, Acoustics Laboratory (4-4-4), 4-4-4
ECE 148, Introduction to Autonomous Vehicles (4), 4
ECE 153, Probability  and Random Processes for Engineers (4), 4
ECE 154A, Communications Systems I (4), 4
ECE 154B, Communications Systems II (4), 4
ECE 154C, Communications Systems III (4), 4
ECE 156, Sensor Networks (4), 4
ECE 157A, Communications Systems Laboratory I (4), 4
ECE 157B, Communications Systems Laboratory II (4), 4
ECE 158A, Data Networks I (4), 4
ECE 158B, Data Networks II (4), 4
ECE 161A, Introduction to Digital Signal Processing (4), 4
ECE 161B, Digital Signal Processing I (4), 4
ECE 161C, Applications of Digital Signal Processing (4), 4
ECE 163, Electronic Circuits and Systems (4), 4
ECE 164, Analog Integrated Circuit Design (4), 4
ECE 165, Digital Integrated Circuit Design (4), 4
ECE 166, Microwave Systems and Circuits (4), 4
ECE 171A, Linear Control System Theory (4), 4
ECE 171B, Linear Control System Theory (4), 4
ECE 172A, Introduction to Intelligent Systems: Robotics and Machine Intelligence (4), 4
ECE 174, Introduction to Linear and Nonlinear Optimization with Applications (4), 4
ECE 175A, Elements of Machine Intelligence: Pattern Recognition and Machine Learning (4), 4
ECE 175B, Elements of Machine Intelligence: Probabilistic Reasoning and Graphical Models (4), 4
ECE 180, Topics in Electrical and Computer Engineering (4), 4
ECE 181, Physical Optics and Fourier Optics (4), 4
ECE 182, Electromagnetic  Optics, Guided-Wave, and Fiber Optics (4), 4
ECE 183, Optical Electronics (4), 4
ECE 184, Optical Information  Processing and Holography (4), 4
ECE 185, Lasers and Modulators (4), 4
ECE 187, Introduction  to Biomedical Imaging and Sensing (4), 4
ECE 188, Topics in Electrical and Computer Engineering with Laboratory (4), 4
ECE 189, Technical Public Speaking (2), 2
ECE 190, Engineering Design (4), 4
ECE 191, Engineering Group Design Project (4), 4
ECE 193H, Honors Project (4–8), 4–8
ECE 194, Viacar Design Project (4), 4
ECE 195, Teaching (2 or 4), 2 or 4
ECE 196, Engineering Hands-on Group Project (4), 4
ECE 197, ECE Internship (2, 4, 6, 8, 10, 12, 14, or 16), 2, 4, 6, 8, 10, 12, 14, or 16
ECE 198, Directed Group Study (2 or 4), 2 or 4
ECE 199, Independent Study for Undergraduates (2 or 4), 2 or 4
ECE 200, Research Conference (2), 2
ECE 201, Introduction to Biophysics (4), 4
ECE 202, Medical Devices and Interfaces (4), 4
ECE 203, Biomedical Integrated Circuits and Systems (4), 4
ECE 204, Statistical Learning in Bioinformatics (4), 4
ECE 207, Principles of Biomedical Imaging (4), 4
ECE 208, Computational Evolutionary Biology (4), 4
ECE 209, Statistical Learning for Biosignal Processing (4), 4
ECE 212AN, Principles  of Nanoscience and Nanotechnology (4), 4
ECE 212BN, Nanoelectronics (4), 4
ECE 212CN, Nanophotonics (4), 4
ECE 221, Magnetic Materials: Principles and Applications (4), 4
ECE 222A, Antennas and Their System Applications (4), 4
ECE 222B, Applied  Electromagnetic Theory—Electromagnetics (4), 4
ECE 222C, Applied Electromagnetic Theory—Computational Methods for Electromagnetics (4), 4
ECE 222D, Advanced Antenna Design (4), 4
ECE 225A, Probability and Statistics for Data Science (4), 4
ECE 225B, Universal Probability and Its Applications in Data Science (4), 4
ECE 226, Optimization and Acceleration of Deep Learning on Various Hardware Platforms (4), 4
ECE 227, Big Network Data (4), 4
ECE 228, Machine Learning for Physical Applications (4), 4
ECE 230A, Solid State Electronics I (4), 4
ECE 230B, Solid State Electronics II (4), 4
ECE 230C, Solid State Electronics III (4), 4
ECE 235, Nanometer-Scale VLSI Devices (4), 4
ECE 236A, III-V Compound Semiconductor Materials (4), 4
ECE 236B, Optical Processes in Semiconductors (4), 4
ECE 236C, Heterojunction Field-Effect Transistors (4), 4
ECE 238A, Thermodynamics of Solids (4), 4
ECE 238B, Solid State Diffusion and Reaction Kinetics (4), 4
ECE 240A, Lasers and Optics (4), 4
ECE 240B, Optical Information Processing (4), 4
ECE 240C, Optical Modulation and Detection (4), 4
ECE 241A, Nonlinear Optics (4), 4
ECE 241B, Integrated Photonics  (4), 4
ECE 241C, Holographic Optical Elements (4), 4
ECE 243B, Optical Fiber Communication (4), 4
ECE 244A, Statistical Optics (4), 4
ECE 247A, Advanced BioPhotonics (4), 4
ECE 247B, BioElectronics (4), 4
ECE 247C, BioNanotechnology (4), 4
ECE 250, Random Processes (4), 4
ECE 251A, Digital Signal Processing I (4), 4
ECE 251B, Digital Signal Processing II (4), 4
ECE 251C, Filter Banks and Wavelets (4), 4
ECE 251D, Array Processing (4), 4
ECE 252A, Speech Compression (4), 4
ECE 252B, Speech Recognition (4), 4
ECE 253, Fundamentals of Digital Image Processing (4), 4
ECE 254, Detection Theory (4), 4
ECE 255A, Information Theory (4), 4
ECE 255B, Source Coding  (4), 4
ECE 255C, Network Information Theory (4), 4
ECE 257A, Modern Communication Networks  (4), 4
ECE 257B, Principles of Wireless Networks (4), 4
ECE 257C, Stochastic Wireless Networks Models (4), 4
ECE 258A–B, Digital Communication (4-4), 4-4
ECE 259A, Algebraic Coding (4), 4
ECE 259B, Probabilistic Coding (4), 4
ECE 259C, Advanced Topics in Coding (4), 4
ECE 260A, VLSI Digital  System Algorithms and Architectures (4), 4
ECE 260B, VLSI Integrated Circuits and Systems Design (4), 4
ECE 260C, VLSI Advanced Topics (4), 4
ECE 264A, CMOS Analog  Integrated Circuits and Systems I (4), 4
ECE 264B, CMOS Analog  Integrated Circuits and Systems II (4), 4
ECE 264C, CMOS Analog  Integrated Circuits and Systems III (4), 4
ECE 264D, CMOS Analog  Integrated Circuits and Systems IV (4), 4
ECE 265A, Communication Circuit Design I (4), 4
ECE 265B, Communication Circuit Design II (4), 4
ECE 265C, Power Amplifiers for Wireless Communications (4), 4
ECE 267, Network/Graph Algorithms and Analysis  (4), 4
ECE 268, Security of Hardware Embedded Systems (4), 4
